Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
哈哈哈,3,962,4.1,2.049,2.04,25,1.257,-1
前方高能,4,454,5.2,5.255,4.822,25,1.172,1
miku,4,588,5.3,3.45,3.413,25,1.171,-1
you,3,225,6.1,2.734,3.034,25,1,-1
前方高能,4,265,6,4.291,4.081,25,0.986,1
火钳刘明,4,92,5.1,2.92,2.989,25,0.898,1
鸡你太美,4,187,4.4,3.022,3.143,25,0.853,1
全体起立,4,1634,4.4,3.867,3.109,25,0.816,1
哈哈,2,515,4.3,2.079,2.007,25,0.738,0
鸡你太美,4,200,5.4,3.324,3.518,25,0.608,1
牛逼,2,428,5.7,2.484,3.78,25,0.567,1
牛逼牛逼,4,300,4.7,2.681,2.753,25,0.442,-1
前方核能,4,135,5.2,4.443,4.464,25,0.34,1
前方高能,4,113,5.6,3.675,3.535,25,0.324,1
财大nb,4,151,5.9,4.669,4.583,25,0.215,1
一路走好,4,71,5.1,3.446,3.215,25,0.213,1
开炮开炮,4,209,4.8,2.048,2.114,25,0.211,-1
skr,3,68,5.9,2.702,2.311,25,0.137,1
泪目泪目,4,308,4.4,2.192,2.111,25,0.039,-1
完结撒花,4,55,5.7,2.959,2.836,25,0.009,1
丢雷,2,560,6.5,4.176,4.524,24,4.33,-1
sk,2,498,6.9,4.304,2.83,24,2.767,1
蕉迟但到,4,528,5,4.494,4.422,24,1.529,1
上头,2,147,4.7,4.525,3.641,24,1.247,0
太宰,2,184,4.6,3.458,3.014,24,0.83,-1
吃掉,2,131,4.2,3.646,3.518,24,0.625,0
花花,2,109,5.2,2.95,2.942,24,0.433,-1
文艺复兴,4,93,6.8,3.902,3.967,24,0.332,0
蕾姆,2,283,5.9,4.606,4.918,24,0.283,1
泪目泪目,4,1098,4.5,2.52,2.815,24,0.169,-1
厉害厉害,4,92,4.8,2.246,2.262,24,0.134,1
肖战,2,316,5.9,3.614,2.338,23,3.064,1
白嫖失败,4,664,5.4,6.06,6.234,23,2.949,1
牛逼,2,326,4.3,5.084,5.534,23,1.227,1
nb,2,160,4.2,4.493,4.586,23,0.912,1
开炮,2,56,4.9,3.807,3.601,23,0.42,-1
是他,2,110,4.2,4.346,3.798,23,0.343,-1
开炮开炮,4,563,4.2,2.103,2.083,23,0.149,-1
逮鸡户,3,1120,5,5.465,5.572,22,2.789,1
sp,2,640,4.2,4.203,4.97,22,2.741,-1
再来一遍,4,254,5,2.605,2.549,22,1.849,1
魔鬼,2,104,5.3,3.634,4.05,22,0.664,0
泪目,2,1066,5,4.506,3.957,22,0.575,1
口也,2,122,5.1,3.38,3.298,22,0.432,-1
逮虾户,3,116,4.9,4.356,4.224,22,0.254,1
讲究,2,76,6.1,3.734,4.423,22,0.228,0
全体起立,4,77,7.1,3.887,3.806,22,0.185,1
前方核能,4,63,5.8,3.342,3.436,22,0.137,1
rip,3,33,6.5,2.189,2.128,22,0.096,1
加油,2,51,6,2.843,2.973,22,0.085,1
害怕,2,138,4.9,4.546,4.361,21,3.054,0
善逸,2,416,4.6,3.004,2.755,21,1.472,1
哈哈哈,3,610,4.6,2.06,2.096,21,0.728,-1
啊啊啊,3,718,4,2.295,2.291,21,0.667,-1
牛逼,2,99,5.1,3.714,4.199,21,0.629,1
加油,2,266,8.5,2.285,2.282,21,0.6,1
爸爸,2,227,4.4,3.295,4.108,21,0.492,0
口区,2,263,4.8,4.016,4.404,21,0.383,-1
坤坤,2,130,4.5,4.603,4.615,21,0.284,1
卧槽,2,207,7.5,4.702,5.223,21,0.258,1
五五开,3,63,7.1,3.223,3.16,21,0.25,1
哈哈,2,230,5,2.01,2.023,21,0.249,0
ao3,3,63,5.6,2.471,3.228,21,0.157,-1
泪目泪目,4,234,5.7,3.22,3.388,21,0.071,-1
押韵,2,39,5.9,2.152,2.309,21,0.068,1
参见猫王,4,2836,4.1,5.314,5.341,20,10.558,-1
卢本伟牛壁,5,767,4.6,2.806,2.48,20,4.825,-1
妙啊,2,867,4.5,4.854,5.014,20,3.557,-1
开头见,3,396,7.2,4.337,4.506,20,2.933,1
火钳刘明,4,659,5.2,5.594,5.447,20,2.769,1
去哪都不怕,5,811,4.8,2.526,3.071,20,2.226,-1
lbwnb,5,942,4.3,4.016,3.99,20,1.881,-1
lbwnb,5,468,4.4,4.211,4.066,20,1.265,-1
百万助攻,4,87,5.9,3.634,3.831,20,0.908,1
头戴绿花,4,196,4.5,3.929,4.524,20,0.623,1
波澜,2,89,5.8,4.972,3.474,20,0.54,1
可带劲了,4,128,4.4,3.839,3.965,20,0.535,-1
人才,2,138,4.8,4.813,4.597,20,0.507,0
很多,2,206,5.7,2.745,2.816,20,0.487,0
一起拉大便,5,85,6,3.071,2.809,20,0.465,-1
前方核能,4,109,6,2.722,2.822,20,0.415,1
可以,2,82,6,4.216,3.723,20,0.408,0
卢本伟牛壁,5,111,4.8,3.105,2.683,20,0.399,-1
禁止某音,4,63,6.4,3.944,2.445,20,0.386,-1
我需要碰撞,5,105,4.2,2.728,2.696,20,0.386,-1
泪目,2,114,7.3,4.814,5.082,20,0.376,1
三连,2,119,6.2,4.158,3.711,20,0.376,1
磕头,2,46,8.1,2.503,2.577,20,0.225,1
害怕,2,49,7.1,3.23,3.434,20,0.2,0
开心,2,38,5.1,2.71,2.815,20,0.168,0
口区,2,33,6.2,2.22,2.013,20,0.161,-1
卢本伟牛壁,5,46,5.8,2.748,3.198,20,0.122,-1
