W,Frequence,Mut,Freedom_L,Freedom_R,mark
播放量,5011,10.8,2.806,6.034,1
不甘心,463,7,3.285,3.921,1
不悔入二次元,459,7.1,2.128,4.274,0
不简单,1753,5.6,3.013,5.257,0
不讲武德,1570,5.4,2.955,4.05,1
不容易,1999,6.6,4.479,3.709,1
不投也罢,323,5.4,2.001,3.465,1
不信谣不传谣,511,11.7,2.522,4.438,1
不削能玩,751,7.1,4.228,4.938,0
裁决之地,280,15.8,3.905,4.528,1
踩点好评,699,6.1,4.323,4.933,0
踩点狂魔,675,6.1,4.082,4.473,0
菜虚鲲,278,7.6,3.744,4.035,1
蔡徐坤,11940,9.4,5.504,5.312,1
参见逼王,392,6.1,4.302,4.776,0
参见殿下,502,6.4,2.691,2.419,0
参见公主殿下,2160,15.6,4.387,4.888,0
参见狼王,681,6.7,3.09,2.906,0
参见猫王,1668,7.6,3.459,3.964,0
参上,2015,6.3,2.565,2.5,1
喰种,1635,9,5.361,5.984,1
仓鼠狗贼,731,12.9,3.374,3.2,1
蹭热度,363,7.7,4.681,4.29,1
查克拉,508,9.7,2.362,5.076,1
拆弹专家,348,7.2,2.47,2.868,0
馋她身子,440,10.4,2.266,2.265,1
铲车人,306,8.6,4.354,3.093,1
钞能力,1673,6.7,4.153,5.268,1
超级兵,1283,5.9,2.928,5.027,1
超级反弹,1031,5.7,2.454,2.957,0
超级加倍,1261,5.9,4.232,4.794,0
超兽武装,356,6.4,3.951,4.673,1
超威蓝猫,834,9,2.892,4.631,1
超喜欢,2422,8.5,3.658,4.521,1
朝花夕誓,274,8.1,2.673,4.262,1
炒饭真香,286,8.6,2.515,3.076,1
彻底疯狂,2829,16.8,2.702,3.167,1
臣卜木曹,737,12,4.92,4.376,1
臣附议,781,12.9,3.307,4.588,1
陈sir,1000,8.6,4.137,4.989,1
陈刀仔,326,6.3,2.747,2.465,1
成功暂停,990,10.4,3.332,2.902,0
成龙历险记,665,6.6,4.904,4.435,1
承包空屏,1695,11.2,5.041,5.928,1
吃瘪,339,6.8,4.544,4.088,1
吃货殿下,638,7.6,2.846,4.065,1
吃鸡,6044,5.1,5.813,5.025,1
彳亍不,391,11.9,3.235,2.369,1
