W,Frequence,Mut,Freedom_L,Freedom_R,mark
不觉得,1010,6.1,4.02,5.139,0
不科学,559,5.6,3.764,3.187,0
不客气,1616,6.3,4.938,3.845,0
不恐怖,346,5,3.952,3.501,0
不理解,718,5.7,2.316,5.246,0
不厉害,346,7.4,4.109,3.882,0
不明白,1284,5.2,4.346,4.559,0
不努力,676,7.5,4.02,2.961,0
不配拥有姓名,673,11.9,5.063,2.953,0
不然就,326,5.7,4.357,4.869,0
不认识,3785,7.8,3.604,5.248,0
不试试,589,5.2,3.15,2.29,0
不是很正常,488,11.6,3.696,2.092,0
不适合,1128,10.1,4.137,4.838,0
不舒服,849,7.7,4.692,4.976,0
不习惯,407,7.9,4.087,4.805,0
不喜欢,4981,6.6,4.703,5.541,0
不行了,10182,5.2,3.323,4.974,0
不需要,3245,7,5.159,6.098,0
不要男妈妈,670,11.9,3.424,4.325,0
不应该,4032,7.3,5.599,3.513,0
不允许,576,6.7,3.797,3.572,0
不知道,23974,8.4,4.373,6.059,0
不知道多少,329,5.4,2.318,2.879,0
不知道为什么,1286,5,4.389,4.125,0
不知道怎么,577,5.1,2.927,4.947,0
不至于不至于,3214,6,4.597,5.235,0
不至于不至于不至于,2118,13.1,3.58,4.116,0
布布布布布布,4716,13.1,2.435,2.654,0
布锅锅,281,8.5,3.872,4.374,0
猜到结局,361,9.3,4.522,3.636,0
才发现,2635,5.6,3.264,3.807,0
才是王道,339,7,2.684,4.666,0
才知道,1455,7.4,2.755,4.747,0
财大nb,739,8.9,2.842,3.857,0
踩点了,778,6.2,4.461,5.238,0
蔡文姬蔡文姬,2578,9.4,4.494,3.986,0
蔡文姬蔡文姬蔡文姬,2432,16.4,4.325,3.722,0
参见吃货殿下,468,14.1,3.069,3.053,0
参见教主,4365,8.6,3.559,3.657,0
参见龙王,294,5.9,3.111,3.459,0
参见天依殿下,338,12.6,2.083,2.804,0
参见吾王,497,6.4,4.238,3.976,0
仓鼠小人,302,12,3.615,3.342,0
苍天饶过谁,340,7.1,2.808,4.684,0
操作的,972,9.5,2.032,3.086,0
操作了,892,9.5,4.711,4.874,0
操作我,427,8.7,2.513,4.49,0
曹操曹操,1571,9.3,3.838,3.621,0
曹操曹操曹操,1490,17.1,3.625,3.252,0
曹操进入直播间,384,15.8,3.003,2.728,0
草草草草,43996,7.4,3.258,2.535,0
草草草草草草,39973,18.1,3.047,2.304,0
草哈哈哈,2874,6.2,3.567,4.139,0
草害怕,714,6.2,2.994,3.201,0
草率了,367,6.5,2.796,3.442,0
草卧槽,754,7.1,2.525,4.457,0
草一种植物,1036,7.1,3.015,3.897,0
草中日双语,259,7.2,2.272,2.669,0
曾经的,908,10.5,4.38,4.458,0
蹭蹭,275,6.7,2.007,2.721,0
茶包王子,590,8.6,2.53,3.298,0
差点被,422,5.5,4.989,4.547,0
差点没,434,5.5,3.805,2.897,0
差点以为,377,5.4,2.318,2.498,0
尝试着,555,12.3,2.413,2.252,0
嫦娥嫦娥,2185,18.9,4.614,4.501,0
嫦娥嫦娥嫦娥,2021,20.2,4.369,3.873,0
唱歌的,269,5.1,3.865,3.88,0
唱跳,710,5.8,3.872,2.104,0
唱跳rap,459,8.7,3.742,3.848,0
抄袭的,281,10.1,2.799,4.236,0
超超超超超超,818,11.1,2.807,3,0
超级慈善,1023,5.7,4.976,4.825,0
超级好看,1579,6.1,5.22,4.842,0
超级喜欢,947,5.6,3.661,4.239,0
超神超神超神,785,11.7,2.668,2.601,0
超越妹妹,453,5.2,3.871,4.31,0
超智能足球,376,7.9,2.232,3.101,0
屮lbwnb,334,6.5,2.3,2.43,0
陈钰琪陈钰琪,516,13.4,2.197,2.252,0
成功的,738,10.1,3.69,4.867,0
成功哈哈哈,498,9.7,2.016,3.777,0
成功了,1549,10.8,2.702,3.862,0
丞相保重丞相,474,17.7,2.241,2.59,0
丞相丞相,419,13.2,2.196,2.557,0
承包我,590,10.2,4.98,3.383,0
承包这个,368,9.7,3.879,4.693,0
吃饱了,583,5.5,4.364,4.587,0
吃蝙蝠,300,10,4.071,4.049,0
吃东西,380,6,2.987,4.455,0
吃饭的,801,5.4,2.583,2.902,0
吃什么,591,7.8,4.971,5.653,0
迟早要,305,7.1,2.219,2.886,0
彳亍彳亍,25220,16.1,4.923,5.303,0
彳亍彳亍彳亍,18456,21,4.222,4.85,0
彳亍哈哈哈,1017,12.9,3.825,3.412,0
彳亍哈哈哈哈哈哈,552,15.3,3.369,3.358,0
彳亍哈哈哈哈哈哈哈,579,15.4,3.593,2.707,0
彳亍害怕,371,11.9,3.233,2.535,0
彳亍我,561,12.3,3.903,4.285,0
彳亍下次一定,630,16.2,3.102,3.614,0
彳亍行,667,12.4,3.531,2.454,0
彳亍行彳亍,351,17,2.586,2.745,0
冲冲冲,7636,6.8,5.872,4.702,0
冲冲冲冲,13343,7.3,3.303,2.633,0
冲冲冲冲冲冲,11451,17.4,3.097,2.292,0
冲害怕,267,5.8,2.269,3.855,0
充满了,536,9.3,2.736,3.591,0
抽筋了,334,6.8,3.141,4.162,0
丑丑丑,337,7.9,4.325,4.535,0
丑丑丑丑,5705,10.7,3.766,2.648,0
丑丑丑丑丑丑,5025,18.7,3.696,2.664,0
出必还愿许愿,1385,14.7,4.554,2.573,0
出来的时候,264,13.1,3.335,4.295,0
出来了哈哈哈,346,13.3,3.938,3.568,0
出了问题,303,6.9,2.25,5.175,0
出品必属精品,784,14.2,2.688,4.337,0
出什么,265,7.3,4.392,4.551,0
出现的,447,7.5,4.765,4.533,0
出现了,6032,10.1,6.053,6.938,0
出现在,684,7.9,3.899,2.201,0
初三的,301,6.5,3.292,2.253,0
初三了,361,6.7,2.507,4.195,0
初音初音,1671,11,2.468,2.772,0
初中的,399,6.3,3.209,4.016,0
川剧变脸,822,8.7,4.639,5.222,0
穿越了,330,6,3.308,4.535,0
传统艺能,884,11.9,4.717,5.5,0
串味了,732,11.2,3.539,4.722,0
吹爆巨人,394,7.5,3.094,3.799,0
吹爆这个,645,7.5,3.041,3.676,0
锤子的,259,5.8,2.687,4.365,0
纯洁的,534,12.8,3.43,2.83,0
此乃,345,5.1,3.022,2.51,0
此曲一出,939,7.9,4.495,3.352,0
此曲一出非死即伤,606,15.3,3.978,4.493,0
此生不悔,359,5.7,4.166,2.967,0
此生不悔入二次元,433,15,2.657,3.472,0
此时一位,495,5.8,4.891,4.133,0
此时一位靓仔,264,14.5,4.731,3.697,0
此视频,581,9.7,2.723,4.137,0
次一定,564,5.1,2.322,5.279,0
刺什么吧,314,5.8,2.611,3.28,0
聪明的,672,13.8,3.949,4.002,0
从此刻开始,285,8,3.635,2.371,0
从现在,3163,10,2.753,2.664,0
粗鄙之语真香,400,13.9,2.617,2.68,0
猝不及防啊,313,6.5,3.873,4.309,0
猝不及防猝不及防,2370,8.5,4.82,5.337,0
猝不及防猝不及防猝不及防,632,16.6,3.435,3.592,0
猝不及防的,493,6.9,3.963,2.189,0
猝不及防哈哈哈,803,7.4,4.543,3.413,0
猝不及防哈哈哈哈哈哈,495,15.2,3.383,2.61,0
猝不及防哈哈哈哈哈哈哈,408,15,3.358,3.153,0
猝不及防你,296,6.4,3.728,4.664,0
猝不及防我,950,7.6,4.881,4.757,0
猝不及防这,274,6.4,3.993,2.94,0
存活存活,269,8.7,2.284,3.146,0
存在感,712,5.4,2.456,3.615,0
达摩达摩,3002,11.9,3.149,2.565,0
达摩达摩达摩,2957,17.6,3.133,2.565,0
打不赢,259,5.9,3.632,4.675,0
打得不错,373,5.9,3.596,3.723,0
打得过,432,5.9,4.146,4.403,0
打辅助,400,7.5,4.336,4.93,0
打工的,493,7.7,3.125,4.282,0
打扰了,4961,13.7,3.636,6.225,0
打伤害,345,5.2,4.995,4.742,0
打什么,783,7.5,4.894,5.218,0
打死不看简介,322,12.4,2.946,4.053,0
打他蛋,904,6.6,2.838,2.537,0
打野不,319,5.5,4.455,2.357,0
打野的,661,6.2,4.955,4.781,0
打野了,269,5.3,4.791,5.155,0
打野是,275,5.3,4.412,5.003,0
打野我,302,5.4,4.614,4.799,0
大部分都,386,5.4,3.881,2.042,0
大聪明,796,9.9,4.491,5.5,0
大概是,472,11.5,3.913,5.013,0
大哥大哥大哥,3620,14,2.908,3.149,0
大哥走好,1190,5.4,2.278,4.58,0
大海我,770,5.8,2.725,2.629,0
大河内,361,7.2,3.336,4.824,0
大家都,3028,5.8,5.632,4.398,0
大家开头见,259,7.8,2.329,2.92,0
大佬nb,296,5.4,3.336,4.424,0
大佬啊,404,5.7,3.668,4.373,0
大佬大佬,967,6.6,3.926,4.833,0
大佬的,402,5.7,4.695,4.139,0
大佬牛逼,334,6,2.767,2.86,0
大佬我,419,5.8,3.625,4.603,0
大力出奇迹,295,11.8,3.382,3.421,0
大脑在颤抖,273,12.4,3.048,3.199,0
大娘大娘大娘,451,12.9,4.143,3.547,0
大鹏展翅,311,8.5,2.715,3.579,0
大片既视感,311,5.2,2.603,4.061,0
大千世界大千世界,1136,7.5,2.588,2.995,0
大圣大圣,735,6.6,2.505,2.873,0
大胜利,371,6.4,2.514,3.837,0
大实话,406,8,2.645,4.439,0
大司大司,757,7.9,2.546,4.004,0
大司大司大司,659,12.1,2.44,3.392,0
大晚上,555,5.6,3.625,2.926,0
大仙大仙,2586,5.9,4.554,4.796,0
大仙大仙大仙,1920,14.3,3.521,4.094,0
大兄弟,417,6,3.281,4.25,0
大预言家,418,8.7,3.413,4.85,0
大招的,266,5.3,4.071,5.428,0
大作战,637,5.5,2.914,5.385,0
呆毛,945,8.1,4.11,4.377,0
呆毛王,365,7.1,3.643,4.088,0
代价是,324,12.8,3.338,3.617,0
带恶人,869,8,3.637,4.983,0
带耳机,418,6.9,3.554,3.322,0
带劲带劲,425,6,2.179,2.227,0
带净化,944,9.3,4.052,5.581,0
带明星,284,6,2.055,3.394,0
带孝子,1595,9.1,3.836,4.901,0
带预言家,1011,10.6,3.216,5.298,0
戴耳机,575,9.6,4.055,3.872,0
戴口罩,528,8.1,4.479,3.971,0
戴拿,453,5.8,2.908,2.838,0
单纯的,503,8.6,4.493,5.286,0
单曲循环,441,8.2,3.651,3.56,0
单走一个,507,5.2,4.951,2.288,0
单走一个,292,9.2,2.307,2.356,0
耽误的,586,14.3,2.977,3.107,0
但是我拒绝,864,14.9,4.47,4.456,0
但我还是,367,5,3.359,3.351,0
弹幕666,288,9.9,3.219,4.066,0
弹幕nb,873,11,3.559,4.52,0
弹幕啊,1208,11.4,3.636,5.329,0
弹幕不,503,10.5,3.81,3.938,0
弹幕大军,379,10.2,2.682,2.466,0
弹幕大佬,399,10.3,4.404,4.236,0
弹幕大神,465,10.4,5.014,5.566,0
弹幕弹幕,1505,11.6,3.963,4.856,0
弹幕弹幕弹幕,651,16.7,3.375,3.239,0
弹幕挡,282,9.9,3.535,2.757,0
弹幕的,2170,11.9,4.501,5.214,0
弹幕都,2536,12.1,5.188,3.428,0
弹幕高级弹幕,334,16,2.779,3.635,0
弹幕哈哈哈,1273,11.4,2.637,4.245,0
弹幕哈哈哈哈,1270,11.4,2.563,2.044,0
弹幕哈哈哈哈哈哈,600,15.4,2.679,3.312,0
弹幕哈哈哈哈哈哈哈,531,15.3,2.189,3.656,0
弹幕还,368,10.2,4.324,4.119,0
弹幕好,1125,11.3,4.122,4.326,0
弹幕好评,393,10.2,3.321,4.178,0
弹幕护体弹幕,8029,17.6,4.095,2.274,0
弹幕就,938,11.1,4.014,5.211,0
弹幕看,546,10.6,3.488,3.281,0
弹幕可以,308,10,3.626,4.177,0
弹幕啦,278,9.9,2.092,3.256,0
弹幕了,6284,13,2.552,6.134,0
弹幕泪目,516,10.5,2.713,3.732,0
弹幕里,949,11.1,4.231,4.19,0
弹幕吗,1938,11.8,2.012,5.861,0
弹幕呢,10286,13.5,5.68,6.82,0
弹幕呢哈哈哈,266,14.6,3.568,2.595,0
弹幕能,266,9.8,3.798,3.886,0
弹幕你,882,11,3.754,5.37,0
弹幕你们,274,9.9,3.723,3.403,0
弹幕牛逼,1186,6,3.302,3.594,0
弹幕牛批,256,9.8,2.384,3.548,0
弹幕人均,1008,11.2,5.453,4.852,0
弹幕人均王者,334,14.6,5.06,5.522,0
弹幕上,428,10.3,2.312,3.657,0
弹幕是,1682,11.7,3.718,4.957,0
弹幕说,344,10.1,4.473,4.011,0
弹幕素质,318,10,4.45,3.935,0
弹幕太,528,10.5,3.317,2.521,0
弹幕王者,436,10.3,5.427,5.514,0
弹幕我,2734,12.2,3.495,4.921,0
弹幕卧槽,296,10,2.927,3.341,0
弹幕下次一定,300,15.5,2.658,3.672,0
弹幕要,262,9.8,3.717,2.781,0
弹幕也,506,10.5,3.679,3.496,0
弹幕有,831,11,3.929,3.484,0
弹幕有点,338,10.1,2.828,3.593,0
弹幕有毒,277,9.9,3.029,3.042,0
弹幕又,634,10.7,4.433,3.37,0
弹幕咋,322,10,2.865,3.198,0
弹幕在,576,10.6,4.461,4.335,0
弹幕怎么,1787,11.8,4.161,3.781,0
弹幕这,642,10.7,3.528,3.526,0
弹幕这个,338,10.1,3.136,4.084,0
弹幕这么,634,10.7,4.068,3.111,0
弹幕真,546,10.6,4.045,3.009,0
弹幕真的,784,10.9,4.312,4.894,0
当场死亡,308,6.6,2.405,3.75,0
当初看,279,6.9,2.7,2.315,0
当初我,318,7.1,4.101,2.269,0
当年的,1047,5.1,4.56,5.482,0
当然是,2419,10.6,5.465,6.453,0
当时的,584,5.4,4.977,3.584,0
当时看,1013,6,3.178,2.449,0
当时我,1329,6.2,5.227,4.098,0
当舔狗,361,6,3.29,3.398,0
挡脸,321,5.1,2.198,2.383,0
挡住挡住,706,7,4.742,4.347,0
挡住挡住挡住,586,15.3,4.071,3.125,0
挡住了,442,6.5,4.193,5.032,0
挡字幕,1651,7.1,3.925,2.602,0
刀剑刀剑,734,5.1,3.582,4.498,0
刀客塔,692,8.7,4.46,4.502,0
导演郭敬明,348,12.2,2.429,3.409,0
到底骚不骚,257,6.7,2.557,4.173,0
到底谁,509,7.3,4.554,2.98,0
到底是,2272,8.8,4.28,3.213,0
到底是谁,615,5.8,3.835,4.445,0
到底是什么,444,13.1,3.231,3.877,0
到底在,297,6.8,3.374,3.492,0
到现在,2191,8.5,4.506,3.961,0
倒杯卡布奇诺,336,7.9,2.55,3.598,0
倒闭了,280,9.1,4.086,5.135,0
倒放倒放,360,5.5,2.669,3.444,0
倒了哭腔,281,8.7,2.101,5.17,0
道德绑架,436,6.3,3.966,4.201,0
道歉了,399,10.5,4.111,4.647,0
德玛西亚万岁,403,15,4.124,4.925,0
德玛西亚为了,327,9.3,2.404,2.049,0
地狱绘图,591,11.6,3.48,3.786,0
的耻辱,1549,6.5,4.297,4.794,0
的猝不及防,460,5.1,4.52,4.679,0
的东西,5618,5.2,5.681,5.733,0
的愤怒,289,8.6,2.886,3.804,0
的辅助,945,5.4,5.39,5.883,0
的估计,342,5.5,5.854,3.716,0
的故事,3787,6.6,4.403,5.996,0
的轨迹,1411,7.4,2.503,2.45,0
的孩子,2064,6.7,4.443,5.698,0
的羁绊,263,7,3.843,3.818,0
的技能,1152,5.3,5.736,5.596,0
的骄傲,447,7.8,2.558,3.966,0
的节奏,1069,5.5,5.141,5.328,0
的结局,1159,5.4,4.144,2.979,0
的篮球,411,5.8,3.366,4.731,0
的历史,284,5.2,3.751,4.449,0
的厉害,810,6.5,5.985,3.167,0
的秘密,345,6.2,2.683,4.437,0
的朋友,2533,7.4,3.121,5.098,0
的确实,685,6.3,5.087,4.292,0
的确是,665,6.2,4.948,5.794,0
的荣耀,489,5.2,3.579,5.211,0
的什么,2723,5.8,5.97,5.225,0
的实力,609,5.3,5.001,5.26,0
的视频,5503,6.7,5.035,5.868,0
的素材,580,5.1,4.75,4.93,0
的未来,17837,6.1,2.434,6.177,0
的效果,411,6.5,5.287,4.836,0
的幸福,561,5.8,2.074,3.843,0
的颜色,1182,5.1,3.066,5.447,0
的诱惑,819,6.9,3.363,5.172,0
的职业,373,6.1,4.447,4.243,0
的姿势,639,5,4.601,5.129,0
的滋味,1104,5.5,3.606,3.753,0
噔噔咚,475,9.4,2.979,3.647,0
等你回来,1188,6.9,3.052,3.227,0
狄仁杰狄仁杰,2187,13.6,3.313,3.244,0
狄仁杰狄仁杰狄仁杰,2055,18.4,3.026,2.977,0
底部弹幕,666,11.6,3.455,4.396,0
底端弹幕,595,12.5,2.661,4.28,0
底下的,279,7.7,4.096,3.506,0
弟弟弟弟,317,11.7,3.706,3.824,0
弟弟们,318,11.7,4.112,4.861,0
弟弟我,258,11.5,3.824,4.517,0
弟弟行为,329,11.7,4.782,5.207,0
第5,261,5.5,3.971,3.266,0
第一adc,737,5.1,3.496,6.103,0
第一次发弹幕,256,15,3.467,2.677,0
第一次看,799,5.2,3.52,3.255,0
第一个看完,278,7.1,4.367,3.738,0
巅峰之作,297,13.5,2.731,3.484,0
丶丶,498,7.9,2.001,2.028,0
点进来,816,5.7,2.647,2.427,0
点什么,260,8,2.126,4.959,0
点赞了,366,5.3,3.923,4.57,0
电影啊,342,7.7,3.301,4.287,0
电影的,414,7.9,3.736,4.331,0
电影我,417,7.9,3.537,3.781,0
貂蝉貂蝉,34615,17.1,5.1,5.035,0
貂蝉貂蝉貂蝉,33687,21.9,4.961,4.956,0
貂蝉姐姐,431,12.8,2.77,2.703,0
弔图一堆,1441,9.2,5.51,5.077,0
吊图一堆,501,7.4,4.07,5.32,0
掉线了,256,6,4.206,4.769,0
盯上了,4174,8,3.423,5.378,0
盯着,587,6.8,4.441,4.188,0
钉钉时代,2561,8.4,4.362,2.767,0
顶上去报复社会,402,13.1,3.021,3.06,0
丢丢,469,6.9,2.422,2.414,0
丢脸了,415,5.9,3.918,5.053,0
东京喰种,542,10,4.167,4.673,0
东西啊,1263,9.7,3.332,5.826,0
东西的,746,9.2,3.306,4.617,0
东西都,414,8.6,2.09,3.748,0
东西哈哈哈,365,8.5,2.722,3.182,0
东西你,380,8.5,3.028,5.268,0
东西我,718,9.1,2.654,4.827,0
冬泳怪鸽,598,16.6,3.113,4.462,0
咚咚咚,466,9.9,3.646,3.642,0
懂得都懂,465,6.2,4.827,5.275,0
懂什么,400,6.5,2.893,3.3,0
动画的,621,7.1,4.177,4.698,0
动画化,663,7.2,4.168,2.127,0
动画了,335,6.5,3.514,4.792,0
动画我,455,6.8,3.457,3.59,0
动漫啊,370,8.8,2.773,4.789,0
动漫的,793,9.6,3.614,4.895,0
动漫了,368,8.8,3.359,5.105,0
动漫里,277,8.5,3.865,3.097,0
动漫是,332,8.7,3.041,3.991,0
动漫我,567,9.2,3.314,4.691,0
动物世界,278,9.4,4.57,4.471,0
动作指导,394,7.8,3.44,3.368,0
都得死,456,5,3.724,4.828,0
都督都督,534,9.6,2.896,2.845,0
都督都督都督,487,11.8,2.595,2.646,0
都觉得,951,6.2,3.155,5.393,0
都是大佬,339,5,2.584,3.7,0
都是弟弟,347,5.1,2.197,4.58,0
都是人才,1480,5.2,3.439,4.363,0
都是绅士,400,5.4,2.351,3.728,0
都喜欢,1554,5.6,2.866,3.922,0
都知道,2751,6.4,3.522,5.481,0
斗罗大陆,411,8.6,3.84,4.706,0
斗破苍穹,405,8.8,4.048,4.73,0
斗宗强者,310,12,3.589,2.754,0
豆豆豆豆,593,10.8,3.178,2.688,0
豆豆豆豆豆豆,501,17.6,2.943,2.54,0
逗乐了,295,8.8,2.131,5.099,0
嘟嘟嘟,1858,9.4,3.717,3.517,0
嘟嘟嘟嘟,49977,12.7,3.415,2.762,0
嘟嘟嘟嘟嘟,1413,6.5,3.45,3.169,0
嘟嘟嘟嘟嘟嘟,45329,20.8,3.344,2.81,0
毒毒毒毒,2850,11,2.068,4.037,0
肚子里,398,11,2.349,4.131,0
短短短短,660,6.5,2.666,2.04,0
短短短短短短,554,15.4,2.731,2.037,0
断气了,393,7.8,2.099,4.069,0
队友不,316,10,5.015,4.256,0
队友的,1055,11.2,5.473,5.162,0
队友都,737,10.8,5.129,4.999,0
队友就,267,9.8,4.551,5.297,0
队友呢,409,10.2,3.28,2.905,0
队友是,265,9.8,3.98,5.061,0
队友我,410,10.2,4.131,4.842,0
队友在,308,10,3.335,4.451,0
对不起对不起对不起,1045,13.8,3.305,2.614,0
对不起感谢陪伴,748,13.5,2.729,2.347,0
对对对,9449,6.4,2.478,2.498,0
对狙,858,5.4,3.543,3.576,0
对抗路,267,5.5,5.008,4.561,0
对面打野,573,5.3,5.314,5.752,0
对面的,1477,6.2,5.206,6.349,0
对面是,664,5.4,5.076,5.151,0
对面有,471,5.1,5.168,4.715,0
多多多多,9495,5.4,2.16,2.033,0
多罗罗,514,5,4.82,3.412,0
多人运动,863,7.1,4.474,4.781,0
多少钱,1510,5.2,3.179,3.873,0
多谢van强哥,2607,15.1,5.59,5.846,0
多谢大仙,973,7.1,4.206,4.283,0
多谢大仙反弹,580,13.6,4.07,4.5,0
多谢款待,342,6,4.265,4.104,0
多谢老仙,461,6.3,3.691,2.807,0
多谢老仙反弹,288,10.1,3.375,3.393,0
多谢顽强哥,303,7.5,4.626,3.926,0
多谢乌蝇哥,306,7.7,3.131,3.792,0
夺冠了,575,14.1,4.759,5.901,0
夺命老家,333,11.4,2.73,3.414,0
俄洛伊,770,10.2,5.193,5.868,0
额额额额,535,7.1,2.856,3.629,0
厄运传递,280,11.2,2.895,3.444,0
恶灵退散,326,11.2,2.59,2.898,0
恶魔缠身,360,8.3,2.492,2.646,0
恶魔的,354,8.3,4.176,3.781,0
恶心啊,273,6.2,3.136,4.103,0
恶心的,557,7,4.06,5.035,0
恶心恶心,2349,8.4,4.644,4.889,0
恶心恶心恶心,1956,14.7,4.291,4.365,0
恶心人,522,6.9,4.844,3.423,0
恶心我,265,6.2,4.534,4.765,0
恶心心,291,6.3,3.502,3.433,0
诶嘿嘿,1447,6.3,4.458,2.615,0
而且还,302,6.8,4.561,4.822,0
而且是,269,6.7,3.992,5.252,0
耳机党已,315,5.3,3.548,2.033,0
耳机党阵亡,757,18,4.12,4.745,0
二倍速新世界,423,7.2,2.967,3.436,0
二倍新世界,897,5.3,3.832,4.298,0
二次元的,273,5.6,4.355,3.793,0
二段q,265,5.7,4.699,5.365,0
二柱子,737,8.9,4.027,5.217,0
发弹幕,3370,8.8,4.267,3.181,0
发动技能,280,5.6,2.48,2.418,0
发发发发,3768,7.4,3.588,4.366,0
发发发发发发,3035,11.1,2.436,3.39,0
发际线,426,11.9,3.234,4.539,0
发生了,2548,7.5,5.763,2.305,0
发生了什么,1027,14.5,5.23,5.076,0
发生什么,555,5.9,2.315,2.288,0
发问号,377,5.3,4.347,2.954,0
发现我,1153,9.6,2.142,4.438,0
发现这,317,8.3,2.17,3.073,0
发现这个,306,8.3,2.486,3.985,0
翻译的,384,12.1,4.804,4.831,0
翻译我,300,11.8,4.495,4.137,0
翻译小哥,583,12.5,4.52,3.333,0
凡哥对不起,356,6,2.409,3.147,0
反冲斗士,370,5.6,3.667,4.135,0
反弹大仙,467,8,2.752,3.378,0
反弹的,295,7.5,2.456,2.703,0
反弹多谢,1107,8.9,4.374,3.323,0
反弹多谢大仙,582,15.8,3.925,4.28,0
反弹多谢老仙,283,15.1,3.835,2.128,0
反弹反弹,24450,12,5.215,5.656,0
反弹反弹多谢,710,16.4,4.348,2.922,0
反弹反弹反弹,13391,19.4,5.153,5.703,0
反弹反弹谢谢,870,16.6,4.36,4.026,0
反弹哈哈哈,814,8.6,2.969,3.284,0
反弹哈哈哈哈哈哈,456,15.2,2.49,2.288,0
反弹哈哈哈哈哈哈哈,338,14.9,2.115,2.615,0
反弹害怕,566,8.2,2.457,4.007,0
反弹全部反弹,3872,18.1,3.508,3.855,0
反弹我,558,8.2,2.659,4.516,0
反弹下次一定,356,15.6,3.108,3.553,0
反弹谢谢,1416,9.1,4.353,4.229,0
反弹谢谢大仙,615,15.9,3.815,4.574,0
反弹谢谢老仙,271,15.1,3.55,3.325,0
反弹永久反弹,9033,19,3.736,4.634,0
反反复复反反复复,307,7.2,2.423,2.197,0
反手就是,266,5.7,2.396,2.487,0
反手一个,615,6.5,4.435,2.937,0
反正我,1299,7.1,4.999,3.573,0
犯规了,428,13.6,2.708,3.457,0
方舟的,2147,13.9,4.608,3.457,0
方舟的骑士,2048,18.1,4.094,4.818,0
放飞自我,350,5.1,4.792,2.823,0
放技能,335,9.3,4.472,4.595,0
放假君牛逼,286,6.1,2.676,2.952,0
放弃了,960,9.1,3.688,5.48,0
放我出去,1091,8.4,2.725,3.675,0
飞飞飞飞,213744,11.2,4.719,5.876,0
飞飞飞飞飞飞,198829,11.9,4.664,5.831,0
飞过来飞过来,4440,6.1,2.816,2.296,0
飞过来飞过来飞过来,4007,14,2.423,2.243,0
飞机飞机,329,7,2.678,3.59,0
飞起来,1742,6.7,4.287,2.337,0
飞升者,548,8.4,4.453,5.57,0
非常的,343,9.8,4.451,4.447,0
非常好,513,10.2,3.375,3.377,0
非常好看,263,9.6,3.536,3.883,0
绯红之王,1070,10.2,4.928,5.976,0
狒狒挠头,1041,21.3,3.49,4.393,0
分明是,352,7.4,2.591,5.251,0
分钟的,393,8.4,3.233,4.456,0
分钟就,285,8,3.147,5.201,0
分钟了,323,8.2,2.98,4.841,0
分钟前,2424,10.2,3.39,5.428,0
分钟我,278,8,3.288,4.448,0
粉丝的,313,8.7,4.502,4.272,0
粉丝都,367,8.8,3.59,2.727,0
粉丝了,261,8.5,2.951,4.868,0
粉丝骂人,338,8.8,2.352,4.347,0
愤怒的,395,16.4,4.073,3.078,0
风俗娘,299,12.2,2.632,3.357,0
封面的,364,8,4.547,5.08,0
封面好评,455,8.3,4.244,4.905,0
封面就,505,8.4,2.459,3.472,0
封面魔鬼,476,8.3,4.001,4.124,0
封面呢,701,8.7,4.515,4.944,0
封面是,1290,9.3,4.811,4.391,0
封面我,1255,9.3,4.495,3.811,0
封印解除,713,10.3,4.523,4.668,0
疯狂暗示,1004,7.2,5.11,5.334,0
疯狂打call,866,12.2,5.432,3.986,0
疯狂的,467,6.4,3.619,4.951,0
疯狂输出,310,6,3.993,4.989,0
疯狂押韵,479,6.5,3.612,3.956,0
葑号,341,7.7,3.148,3.612,0
逢考必过,394,9.3,2.737,4.928,0
凤凰涅槃,351,14.3,4.085,4.751,0
缝合怪,530,13.1,3.108,3.386,0
伏拉夫,497,8,3.1,3.929,0
福建烤老鼠,1194,17.4,5.509,4.834,0
辅助的,634,13.1,5.04,5.229,0
辅助都,341,12.5,4.364,4.73,0
辅助是,256,12.2,4.506,4.691,0
辅助装,277,12.3,3.897,4.106,0
复活了,565,10.5,4.533,5.363,0
富富富富,532,12.8,3.186,3.085,0
富富富富富富,405,14,2.933,2.725,0
富冈义勇,379,13.3,2.792,3.287,0
嘎嘎嘎,1206,8,4.412,4.676,0
嘎嘎嘎嘎,7817,9.9,3.107,2.237,0
嘎嘎嘎嘎嘎,527,6.9,2.438,3.896,0
盖亚lbwnb,319,8.9,2.788,2.91,0
甘城光辉游乐园,340,19.2,2.694,3.859,0
柑橘柑橘,1845,15.9,2.391,2.074,0
尴尬的,530,12.1,4.731,4.727,0
尴尬了,645,12.3,2.765,5.147,0
赶紧去,275,12,3.741,4.627,0
感动啊,285,7.2,2.011,3.996,0
感动到,324,7.3,2.517,2.005,0
感动的,489,7.7,3.743,4.203,0
感动感动,455,7.7,2.559,2.815,0
感动了,1240,8.7,2.86,4.219,0
感动泪目,637,8,3.203,3.556,0
感动我,312,7.3,3.354,4.233,0
感动中国,423,7.6,2.919,3.778,0
感觉不,337,9.8,4.087,3.025,0
感觉到,513,10.3,3.351,2.425,0
感觉都,421,10.1,3.548,3.773,0
感觉还,528,10.3,3.634,2.748,0
感觉还是,265,9.6,3.403,4.906,0
感觉好,889,10.8,4.418,5.273,0
