Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Bvid,Tname,View,Like,Danmaku,Reply,Coin,Share,Favorite,Length,Mark
感染,2,26,5.6,2.484,2.189,1,0.039,BV1yK4y1h7XH,鬼畜剧场,2151863,128525,5956,1224,66209,14695,40946,659,0
感觉,2,16,6.4,2.781,3.875,1,0.133,BV1FW411R7cH,人力VOCALOID,1822255,35136,5801,1130,16862,14170,23685,120,0
感觉,2,17,6.3,3.572,3.97,1,0.036,BV1Hs411N7BJ,鬼畜调教,1373958,49492,9791,1208,45094,29635,38983,478,0
感觉,2,17,6.4,2.934,3.69,1,0.048,BV1wb411A7rc,搞笑,2671992,75930,12355,4291,34050,13658,10306,352,0
感觉,2,18,6.7,3.239,4.059,1,0.081,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,0
感觉,2,19,5,3.108,4.037,1,0.079,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,0
感觉,2,20,7.2,3.822,4.122,1,0.076,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
感觉,2,22,7.2,3.061,3.971,1,0.039,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,0
感觉,2,26,7,3.456,4.287,2,0.305,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,0
感觉,2,45,7,4.138,3.847,1,0.069,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
感觉,2,46,5.6,2.521,4.23,1,0.058,BV1Fb411F7Ti,网络游戏,1083704,3927,2506,1118,817,2804,2498,795,0
感觉,2,53,5.7,4.254,4.815,2,0.059,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
感谢,2,18,7,2.523,2.324,2,0.12,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
感谢,2,19,7.1,2.484,2.437,2,0.052,BV17t41187uZ,鬼畜调教,6512580,370555,33586,13707,368143,145025,246093,306,0
感谢,2,191,5.5,5.764,4.32,2,0.792,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,0
慈善家,3,23,6.2,3.551,3.725,2,0.175,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,-1
慈善,2,83,6.6,3.081,3.891,2,0.675,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,1
憋死,2,23,5.2,3.61,2.908,1,0.237,BV1M7411r7vb,鬼畜调教,3008999,145901,6581,2695,73206,45632,48418,97,-1
成功,2,129,5.3,2.084,4.799,1,1.103,BV1NW411R7BD,人力VOCALOID,1835102,47969,4886,1332,53269,18949,41687,117,0
成功,2,45,6.2,2.235,3.972,1,0.375,BV1FW411R7cH,人力VOCALOID,1822255,35136,5801,1130,16862,14170,23685,120,0
成功,2,65,7.7,4.564,4.161,2,0.451,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
成吉思汗,4,145,6,5.701,5.894,2,0.545,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
成绩,2,46,7.7,2.336,4.32,2,0.317,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
成龙,2,20,5.3,3.784,3.641,2,0.179,BV1pW411m7mB,鬼畜调教,1220606,40280,3330,895,23711,8199,29662,106,-1
我来还愿了,5,16,5.1,2.647,2.272,1,0.113,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
战斗,2,22,8.1,3.425,2.595,1,0.025,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
战斗,2,30,5,3.026,3.28,1,0.046,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
战术后仰,4,84,6.6,3.71,3.644,1,0.387,BV1Jt411F7vW,搞笑,1447252,119401,10251,1634,83261,16011,44088,217,1
战术,2,22,7.4,3.845,2.552,1,0.091,BV1pz4y1Q7p2,人力VOCALOID,8236456,714805,19485,4107,623584,43208,306750,242,0
战术,2,23,6.7,4.263,2.218,1,0.096,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,0
戴安娜,3,23,8.3,3.675,3.849,1,0.026,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
戴罪立功,4,54,8.2,4.706,4.858,1,0.083,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
所以,2,25,5.5,4.294,4.214,1,0.028,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
所以,2,28,6.3,2.945,2.328,1,0.05,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,0
手机在震,4,27,6.7,2.325,2.973,1,0.329,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,-1
手机,2,16,6.1,3.453,3.875,1,0.087,BV1Ua4y1v7up,人力VOCALOID,3008250,164276,9709,6745,38989,32884,28114,184,1
手机,2,21,5.4,2.255,2.869,1,0,BV1cf4y1q7bQ,鬼畜调教,1999319,118586,2958,1097,47135,32244,50233,109,1
手机,2,88,6.6,2.953,3.741,2,1.061,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
扎心,2,21,6.2,2.885,3.975,3,0.029,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
打在公屏上,5,16,5.7,2.061,2.852,1,0.195,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,-1
打在公屏上,5,20,5.9,2.684,2.671,1,0.09,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,-1
打在公屏上,5,74,6.7,3.134,4.651,1,0.114,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
打奶奶,3,55,5.1,4.76,2.086,1,0.301,BV14p411d7Zm,鬼畜调教,2790187,44381,9211,9825,78225,35915,42203,183,-1
打断施法,4,19,6.2,3.326,3.426,1,0.138,BV13r4y1w7Lm,鬼畜剧场,4505498,288812,10366,2708,109452,105496,93799,138,-1
打断,2,43,6.2,4.216,2.273,1,0.312,BV13r4y1w7Lm,鬼畜剧场,4505498,288812,10366,2708,109452,105496,93799,138,0
打桩机,3,21,6,3.744,4.202,1,0.164,BV1Qg4y1z7uc,人力VOCALOID,1309760,87320,3287,1518,32143,13065,19206,128,1
打电话,3,37,6.3,2.763,4.574,1,0.274,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,0
打赏,2,28,6.1,2.761,2.45,1,0.117,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,-1
打钉子,3,45,5.9,3.631,2.563,1,0.188,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,-1
打call,5,57,6.5,4.359,5.133,1,0.216,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,1
承包,2,20,7.8,3.722,3.184,1,0.076,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
承包,2,28,7.2,2.604,2.448,1,0.08,BV1wb411A7rc,搞笑,2671992,75930,12355,4291,34050,13658,10306,352,0
承包,2,62,7.5,4.697,4.023,2,0.069,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
承太郎,3,29,7.5,2.393,4.294,1,0.051,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,1
把你隔离,4,22,6,3.823,3.641,2,0.206,BV1M7411r7vb,鬼畜调教,3008999,145901,6581,2695,73206,45632,48418,97,-1
投币,2,37,6.8,2.201,2.526,1,0.105,BV1wb411A7rc,搞笑,2671992,75930,12355,4291,34050,13658,10306,352,1
抖精神,3,32,6.2,2.396,2.525,8,0.065,BV17t41187uZ,鬼畜调教,6512580,370555,33586,13707,368143,145025,246093,306,-1
抖音,2,49,5,2.681,3.273,1,0.16,BV17t41187uZ,鬼畜调教,6512580,370555,33586,13707,368143,145025,246093,306,1
折鞭,2,40,5.2,4.202,3.469,1,0.256,BV17y4y1k7cf,鬼畜剧场,9080936,524329,20484,7778,411321,296994,258458,156,-1
报道,2,21,6.9,2.82,4.011,1,0.08,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
抵制,2,27,7.1,3.523,2.334,7,0.09,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,0
押韵鬼才,4,18,7.2,3.614,3.572,1,0.15,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,1
押韵鬼才,4,25,5.5,4.294,4.164,1,0.103,BV1pz4y1Q7p2,人力VOCALOID,8236456,714805,19485,4107,623584,43208,306750,242,1
押韵,2,133,5.5,5.461,4.926,2,0.541,BV1pz4y1Q7p2,人力VOCALOID,8236456,714805,19485,4107,623584,43208,306750,242,1
押韵,2,16,7.6,3.453,3.149,1,0.137,BV1fK4y1h7q2,鬼畜调教,7379420,426793,14456,2250,125217,44095,122143,117,1
押韵,2,20,7.9,3.446,3.341,1,0.065,BV17t41187uZ,鬼畜调教,6512580,370555,33586,13707,368143,145025,246093,306,1
押韵,2,24,7.7,3.387,3.198,1,0.042,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,1
押韵,2,31,5.7,4.414,3.844,1,0.169,BV14p411d7Zm,鬼畜调教,2790187,44381,9211,9825,78225,35915,42203,183,1
押韵,2,36,7.9,4.538,4.593,1,0.267,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,1
押韵,2,39,7.3,4.311,3.034,1,0.325,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,1
押韵,2,81,5.1,4.289,4.617,2,0.537,BV1P4411N7N5,鬼畜调教,1262533,79509,3360,1099,61718,5663,47978,149,1
拉斐尔,3,57,5.1,4.019,4.648,1,0.1,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
