Word,Num,Frequence,Mut,Freedom_L,Freedom_R,TF,IDF,TF-IDF,Mark,Rep,Den
来的路上,4,121,5.0,2.239,5.644,0.00161385,4.587457321,0.007403467,1,0.0,0.0
辣个男人,4,127,5.4,4.957,4.774,0.001693875,4.566607182,0.007735263,1,0.04,0.00026659557451346307
拉普兰德,4,186,6.7,2.751,3.457,0.002480794,4.401975545,0.010920394,1,0.0,0.0
拉格朗日,4,115,6.7,5.509,4.772,0.001533824,4.609359162,0.007069946,1,0.04,6.664889362836577e-05
愧对先人,4,92,5.4,3.235,4.593,0.001227059,4.705334203,0.005773724,1,0.0,0.0
狂野飙车,4,162,8.0,4.763,2.361,0.002160691,4.461629547,0.009640205,1,0.0,0.0
快手已盗,4,138,6.9,5.214,5.323,0.001840589,4.530802351,0.008339345,1,0.0,0.0
快乐源泉,4,150,7.1,4.419,5.356,0.00200064,4.494840204,0.008992558,1,0.04,0.005665155958411091
快乐无币,4,148,6.3,4.162,4.352,0.001973965,4.500630883,0.008884088,0,0.0,0.0
快乐老家,4,284,6.8,5.37,5.023,0.003787879,4.218972292,0.015980956,1,0.04,0.0001999466808850973
快乐快乐,4,144,7.2,3.189,3.305,0.001920615,4.512449149,0.008666676,0,0.04,0.0003998933617701946
快乐风男,4,126,7.2,4.966,4.991,0.001680538,4.570013431,0.00768008,1,0.04,0.0007997867235403892
裤子许愿,4,89,6.2,3.419,4.253,0.001187047,4.719574642,0.005602355,1,0.0,0.0
口吐芬芳,4,877,7.1,6.346,6.689,0.011697076,3.730322636,0.043633869,1,0.04,0.0001999466808850973
恐龙妈妈,4,243,7.6,5.86,2.08,0.003241037,4.286427325,0.01389247,1,0.24,0.3261796854172221
恐怖如斯,4,513,8.0,3.815,4.995,0.00684219,3.962854033,0.027114598,1,0.04,0.0015329245534524126
恐怖害怕,4,82,5.9,4.359,3.877,0.001093683,4.754739059,0.005200179,1,0.0,0.0
空之律者,4,178,7.4,2.35,3.363,0.002374093,4.420964121,0.01049578,1,0.0,0.0
空降成功,4,225,8.2,6.058,5.609,0.00300096,4.319708713,0.012963274,1,0.04,0.00026659557451346307
空洞骑士,4,141,8.2,4.562,3.906,0.001880602,4.521528807,0.008503195,1,0.0,0.0
可以可以,4,933,6.5,6.218,6.488,0.012443982,3.703470275,0.046085918,0,0.04,0.0010663822980538523
可怕可怕,4,137,5.9,3.473,3.89,0.001827251,4.533938065,0.008284645,0,0.04,0.00013329778725673153
可可爱爱,4,96,5.6,4.939,4.983,0.00128041,4.687045417,0.006001339,0,0.04,6.664889362836577e-05
可带劲啦,4,1286,6.0,4.614,4.41,0.017152155,3.564238605,0.061134374,1,0.04,6.664889362836577e-05
可爱害怕,4,159,5.9,3.823,3.976,0.002120679,4.469697169,0.009478791,1,0.0,0.0
磕头上香,4,111,5.7,3.296,3.138,0.001480474,4.624599129,0.006846598,1,0.0,0.0
考试顺利,4,94,6.4,3.074,4.59,0.001253735,4.696093546,0.005887655,1,0.0,0.0
考上一中,4,90,6.3,3.752,4.204,0.001200384,4.714775759,0.005659542,1,0.0,0.0
考古考古,4,198,7.2,4.26,4.879,0.002640845,4.374964075,0.011553602,1,0.36,0.0006664889362836577
抗日英雄,4,112,8.3,4.775,4.478,0.001493811,4.620738708,0.006902512,1,0.0,0.0
看着看着,4,96,6.3,4.784,3.192,0.00128041,4.687045417,0.006001339,0,0.04,0.00013329778725673153
看了几遍,4,81,5.9,2.506,4.649,0.001080346,4.760003299,0.005142449,0,0.04,0.0009330845107971208
看过这个,4,98,5.1,4.574,4.445,0.001307085,4.678181957,0.006114781,0,0.0,0.0
看到这里,4,180,5.6,5.854,4.67,0.002400768,4.416138577,0.010602125,0,0.04,6.664889362836577e-05
开心开心,4,83,5.9,2.29,2.261,0.001107021,4.749537866,0.005257838,1,0.04,6.664889362836577e-05
开始吟唱,4,414,5.9,5.767,6.049,0.005521767,4.055769055,0.022395012,1,0.36,0.001199680085310584
开屏雷击,4,413,5.9,5.822,6.403,0.005508429,4.056816811,0.022346689,1,0.04,0.0003998933617701946
开屏暴击,4,99,5.9,4.972,5.197,0.001320423,4.673817152,0.006171413,1,0.04,0.00013329778725673153
开幕雷击,4,2721,5.9,6.638,6.936,0.036291613,3.238929031,0.11754596,1,0.04,0.0021327645961077045
开幕暴击,4,84,5.9,4.968,5.225,0.001120359,4.744398226,0.005315427,1,0.04,0.00013329778725673153
