W,Frequence,Mut,Freedom_L,Freedom_R,mark
泪目我,10836,9.4,4.03,5.281,0
镇站之宝,10807,7.8,6.586,6.247,1
暂停成功,10775,16.8,6.068,7.099,1
音乐区,10430,12.5,4.004,5.309,1
天尊杨戬,10395,12.9,2.596,3.861,1
嗷嗷嗷嗷,10119,10.3,3.175,2.544,0
吼吼吼吼,10103,10.4,2.951,2.153,0
厉害厉害,10066,15.2,5.827,6.693,0
哈哈哈害怕,10024,9,4.467,6.316,0
加油中国,9915,12.5,4.635,2.836,0
弹幕呢,9876,13,5.714,6.777,0
报警了,9873,14.3,2.293,4.907,0
哔哩哔哩,9803,13.5,5.91,5.663,1
真正的,9797,5.9,3.299,3.657,0
哈哈哈红红火火,9740,8.9,5.708,2.569,0
大制作,9718,11.1,4.588,5.018,1
亿万填词,9693,8.6,5.555,6.578,1
恍恍惚惚哈哈哈哈,9610,14,3.493,4.647,0
全部反弹,9596,12,4.987,5.156,1
好活当赏,9563,6.8,4.285,6.255,1
漫长的,9531,14.3,5.756,3.255,0
何为正常,9467,10.2,4.962,3.15,0
哈哈哈嗝,9432,8.9,4.708,6.576,0
在现场,9370,8.9,6.33,2.283,0
面筋面筋,9321,10.4,2.483,3.556,0
面筋哥,9180,10.3,5.682,4.579,1
恭喜你,9142,16.6,5.723,4.783,0
了什么,9099,7.6,4.448,6.615,0
刘明我,9083,10.7,3.315,5.197,0
拜拜拜拜,9072,12.7,3.72,3.482,0
乌鸦坐飞机,9063,16.9,6.102,6.601,1
飞过来飞过来,8983,7.8,4.631,2.486,0
口区口区,8964,8.9,3.536,5.8,0
明白明白,8910,9.5,5.021,5.792,0
汝甚骚,8758,9.9,4.468,3.656,1
名场面,8751,11.5,3.899,6.031,1
拜托了,8702,13.9,6.304,3.677,0
参见教主,8650,8.7,4.079,4.505,0
狭路相逢勇者胜,8646,14.9,5.733,2.797,1
能天使,8605,6.8,4.326,5.773,1
反弹全部,8596,11.4,4.672,3.096,1
爹爹爹爹,8593,10.8,3.296,2.436,0
大威天龙,8307,10.2,4.882,4.6,1
上电视,8251,7.8,3.948,3.077,0
退出直播间,8214,8.8,4.946,7.089,1
百万助攻,8190,10.9,6.149,6.873,1
计数君,8129,14.4,5.893,4.529,1
金坷垃,8120,13.8,4.554,3.819,1
表演个,8019,11.9,3.19,2.322,0
百万调音师,7949,10.8,5.931,6.698,1
好样的,7914,7.8,2.002,5.775,0
生来孤独,7892,6.2,3.706,3.374,1
的感觉,7819,5.2,6.848,6.359,0
鬼畜区,7812,12.1,5.069,4.653,1
卢本伟NB,7739,8.6,4.711,5.334,0
真实真实,7733,11.7,5.079,5.791,0
用爱发电,7719,6.2,4.875,2.187,0
回来吧,7616,6.7,3.816,4.843,0
要定了,7603,7.3,7.427,3.719,0
摧毁停车场,7508,15.4,4.727,6.441,0
哈哈哈哈我,7499,8.7,3.024,5.282,0
吔屎,7486,7,4.803,2.377,0
害怕哈哈哈哈,7467,9.4,5.53,2.261,0
许愿能,7424,13,5.5,3.35,0
泪目哈哈哈哈,7366,9,4.323,2.386,0
保护保护,7324,11.9,5.071,5.945,0
马老师,7305,6.7,4.265,5.084,1
因为天才,7288,8,4.91,3.052,0
拜见祖师爷,7230,9.3,5.301,5.883,0
正片开始,7219,9.6,6.078,6.689,1
每日亿遍,7111,10.5,5.851,6.5,1
龙卷风摧毁,7074,10.8,5.901,3.854,0
泪目哈哈哈,7034,8.9,4.424,6.152,0
哈哈哈这,7003,8.6,5.158,4.076,0
太强了,6992,6.6,3.753,5.955,0
了卧槽,6911,5.6,5.625,5.991,0
恍恍惚惚哈哈哈,6908,13.7,4.795,6.011,0
快跑,6900,6.8,3.299,4.17,1
咚咚咚咚,6891,12.2,4.003,3.209,0
梦幻联动,6767,10.8,5.678,6.455,1
什么鬼,6699,11.5,4.682,5.246,0
害怕我,6698,9.3,5.322,5.491,0
哈哈哈下次,6667,8.6,4.458,2.099,0
害怕哈哈哈,6639,9.3,5.325,5.737,0
卢本伟牛壁,6631,8.4,4.376,4.892,0
哈哈哈卧槽,6628,8.6,4.92,5.574,0
厚颜无耻之人,6542,14.9,4.862,2.819,0
泪目了,6522,8.9,4.006,5.982,0
粗鄙之语,6519,19.1,6.119,6.522,1
弹幕了,6499,12.6,2.506,6.555,0
你怎么,6495,6.9,6.402,4.522,0
哈哈哈哈啊,6421,8.5,2.621,4.566,0
标准结局,6386,16.4,5.71,6.719,1
万助攻,6370,10.1,4.899,4.819,0
呜呜呜呜,6364,10.2,3.783,3.021,0
