num,score,类型
1670,0.844,train
1670,0.832,test
1680,0.843,train
1680,0.835,test
1690,0.842,train
1690,0.835,test
1700,0.842,train
1700,0.833,test
1710,0.842,train
1710,0.833,test
1720,0.842,train
1720,0.835,test
1730,0.842,train
1730,0.834,test
1740,0.843,train
1740,0.835,test
1750,0.843,train
1750,0.835,test
1760,0.844,train
1760,0.835,test
1770,0.843,train
1770,0.835,test
1780,0.843,train
1780,0.835,test
1790,0.842,train
1790,0.834,test
1800,0.842,train
1800,0.835,test
1810,0.841,train
1810,0.834,test
1820,0.84,train
1820,0.834,test
1830,0.841,train
1830,0.835,test
1840,0.84,train
1840,0.835,test
1850,0.84,train
1850,0.835,test
1860,0.84,train
1860,0.835,test
1870,0.84,train
1870,0.834,test
1880,0.84,train
1880,0.835,test
1890,0.841,train
1890,0.835,test
1900,0.842,train
1900,0.835,test
1910,0.841,train
1910,0.835,test
1920,0.842,train
1920,0.835,test
1930,0.843,train
1930,0.835,test
1940,0.843,train
1940,0.835,test
1950,0.843,train
1950,0.835,test
1960,0.843,train
1960,0.835,test
1970,0.843,train
1970,0.835,test
1980,0.843,train
1980,0.835,test
1990,0.844,train
1990,0.835,test
2000,0.843,train
2000,0.835,test
2010,0.843,train
2010,0.835,test
2020,0.843,train
2020,0.834,test
2030,0.843,train
2030,0.834,test
2040,0.843,train
2040,0.833,test
2050,0.841,train
2050,0.835,test
2060,0.841,train
2060,0.835,test
2070,0.841,train
2070,0.835,test
2080,0.842,train
2080,0.835,test
2090,0.842,train
2090,0.833,test
2100,0.843,train
2100,0.834,test
2110,0.844,train
2110,0.834,test
2120,0.843,train
2120,0.835,test
2130,0.842,train
2130,0.835,test
2140,0.842,train
2140,0.836,test
2150,0.843,train
2150,0.835,test
2160,0.843,train
2160,0.835,test
2170,0.844,train
2170,0.835,test
2180,0.844,train
2180,0.834,test
2190,0.845,train
2190,0.835,test
2200,0.845,train
2200,0.835,test
2210,0.845,train
2210,0.835,test
2220,0.845,train
2220,0.835,test
2230,0.846,train
2230,0.835,test
2240,0.846,train
2240,0.835,test
2250,0.846,train
2250,0.835,test
2260,0.846,train
2260,0.835,test
2270,0.845,train
2270,0.835,test
2280,0.845,train
2280,0.835,test
2290,0.845,train
2290,0.837,test
2300,0.844,train
2300,0.837,test
2310,0.844,train
2310,0.837,test
2320,0.844,train
2320,0.837,test
2330,0.844,train
2330,0.837,test
2340,0.844,train
2340,0.837,test
2350,0.844,train
2350,0.837,test
2360,0.844,train
2360,0.837,test
2370,0.845,train
2370,0.837,test
2380,0.845,train
2380,0.837,test
2390,0.845,train
2390,0.837,test
2400,0.846,train
2400,0.836,test
2410,0.845,train
2410,0.836,test
2420,0.846,train
2420,0.836,test
2430,0.846,train
2430,0.836,test
2440,0.846,train
2440,0.837,test
2450,0.845,train
2450,0.837,test
2460,0.844,train
2460,0.837,test
2470,0.846,train
2470,0.836,test
2480,0.846,train
2480,0.836,test
2490,0.847,train
2490,0.835,test
