,0,1,2,3,4,5,6,7,8,9,10,11
0,0.907,0.027,0.002,0.005,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0
1,0.888,0.009,0.006,0.007,0.006,0.006,0.004,0.001,0.001,0.001,0.002,0.0
2,0.614,0.779,0.918,0.968,0.943,0.879,0.842,0.324,0.295,0.378,0.403,0.185
