,0,1,2,3,4,5,6,7,8,9,10,11
0,0.006,0.026,0.056,2.212,4.795,5.376,5.738,6.417,6.835,7.198,8.703,8.713
1,0.0,0.001,0.064,2.141,4.817,5.374,5.741,6.39,6.775,7.142,8.644,8.648
2,0.008,0.008,0.055,2.488,4.973,5.535,5.862,6.492,6.85,7.246,9.033,9.062
